id;name;description;map;map_content_type;master_id
1;Maine;open-source;../fake-data/blob/hipster.png;image/png;34788
2;virtual XSS Grove;payment Persevering;../fake-data/blob/hipster.png;image/png;82821
3;Lock;red;../fake-data/blob/hipster.png;image/png;35511
4;Adaptive Metal Borders;Ports Licensed Rupee;../fake-data/blob/hipster.png;image/png;94547
5;SQL parse;Books;../fake-data/blob/hipster.png;image/png;92583
6;up;Montana;../fake-data/blob/hipster.png;image/png;48246
7;California Forward;user-centric Focused;../fake-data/blob/hipster.png;image/png;74412
8;payment;real-time;../fake-data/blob/hipster.png;image/png;1968
9;Station users;Indiana Cambridgeshire Re-contextualized;../fake-data/blob/hipster.png;image/png;97983
10;Customer-focused benchmark;Movies Specialist;../fake-data/blob/hipster.png;image/png;9216
