id;name;description;weight;quality;picture;picture_content_type;xaracter_id;campaign_id
1;Supervisor Berkshire;azure;22934;92381;../fake-data/blob/hipster.png;image/png;50359;19723
2;knowledge haptic Bike;turn-key silver;42520;49065;../fake-data/blob/hipster.png;image/png;71410;57320
3;haptic navigate;systemic portal;17687;95466;../fake-data/blob/hipster.png;image/png;7535;61278
4;Games Granite Shirt;purple back;82821;4930;../fake-data/blob/hipster.png;image/png;46061;75561
5;Agent Gorgeous compressing;impactful Wall;22868;45483;../fake-data/blob/hipster.png;image/png;96170;68685
6;Directives array;Triple-buffered orchestrate;16492;15362;../fake-data/blob/hipster.png;image/png;97567;5209
7;generating IB;Loan Path;74475;64607;../fake-data/blob/hipster.png;image/png;95613;31269
8;open-source program RSS;impactful context-sensitive;45352;27830;../fake-data/blob/hipster.png;image/png;28313;44016
9;hacking budgetary;best-of-breed Down-sized;57114;97963;../fake-data/blob/hipster.png;image/png;119;61643
10;National bypass;orchid;70217;72174;../fake-data/blob/hipster.png;image/png;71640;1903
