id;name;description;weight;quality;picture;picture_content_type;location;defense_modifier
1;hack ability;digital Brand invoice;43401;13971;../fake-data/blob/hipster.png;image/png;LEFT_ARM;60380
2;Fantastic Legacy Plastic;auxiliary Secured;34995;71994;../fake-data/blob/hipster.png;image/png;HEAD;97945
3;next-generation portal Generic;transmitting feed;65345;98575;../fake-data/blob/hipster.png;image/png;RIGHT_SHOULDER;2517
4;Sports;capacity Directives;82769;42447;../fake-data/blob/hipster.png;image/png;HEAD;15149
5;navigate seize;extranet Bike Money;54366;38132;../fake-data/blob/hipster.png;image/png;LEFT_HAND;16534
6;open-source;Renminbi groupware driver;63348;92313;../fake-data/blob/hipster.png;image/png;CHEST;59311
7;Strategist;Shirt Towels;31422;82558;../fake-data/blob/hipster.png;image/png;LEFT_SHOULDER;1647
8;protocol;withdrawal program Salad;66244;38004;../fake-data/blob/hipster.png;image/png;LEFT_ARM;85631
9;pixel;Checking Zloty;18063;15679;../fake-data/blob/hipster.png;image/png;RIGHT_ARM;14823
10;Representative matrix;Customer program;35341;11142;../fake-data/blob/hipster.png;image/png;LEFT_LEG;69905
