id;name;description;weight;quality;picture;picture_content_type
1;Supervisor Berkshire;azure;22934;92381;../fake-data/blob/hipster.png;image/png
2;cyan McDonald;Bedfordshire Tuna;63865;13740;../fake-data/blob/hipster.png;image/png
3;Director;drive haptic;77408;36041;../fake-data/blob/hipster.png;image/png
4;Bedfordshire;portal Sausages;61278;69205;../fake-data/blob/hipster.png;image/png
5;Towels;Small withdrawal;52185;21056;../fake-data/blob/hipster.png;image/png
6;invoice;backing program;89600;42650;../fake-data/blob/hipster.png;image/png
7;intermediate;Garden;78819;32174;../fake-data/blob/hipster.png;image/png
8;Agent Vista;Directives array;65443;24981;../fake-data/blob/hipster.png;image/png
9;Tools Corporate Associate;Arkansas TCP Loan;45253;59093;../fake-data/blob/hipster.png;image/png
10;calculate;synthesizing;38361;70706;../fake-data/blob/hipster.png;image/png
