id;name;description;weight;quality;picture;picture_content_type;reach;base_damage;required_st;damage_modifier
1;repurpose exuding;Mouse monetize;43225;54689;../fake-data/blob/hipster.png;image/png;19789;96680;3451;20485
2;Borders Account parse;wireless USB;21069;52335;../fake-data/blob/hipster.png;image/png;89780;81341;47558;64213
3;integrate withdrawal pixel;withdrawal;26963;59662;../fake-data/blob/hipster.png;image/png;74720;48275;76487;13951
4;hacking blue Guinea;Saint connect Forward;85053;63729;../fake-data/blob/hipster.png;image/png;40097;52542;10840;3706
5;invoice connecting PNG;Bedfordshire multi-byte;5069;17590;../fake-data/blob/hipster.png;image/png;79269;49774;68694;65421
6;Berkshire;fuchsia Denmark;74760;51898;../fake-data/blob/hipster.png;image/png;76208;19988;45701;61644
7;system Kingdom pink;feed Buckinghamshire;18092;33410;../fake-data/blob/hipster.png;image/png;58657;8441;96834;16216
8;Avon Ball;concept alliance;15655;36310;../fake-data/blob/hipster.png;image/png;58582;71892;58347;34248
9;hack efficient application;Networked feed Direct;2307;47103;../fake-data/blob/hipster.png;image/png;59261;48805;62853;42080
10;deposit transmitter;invoice Steel protocol;97865;20715;../fake-data/blob/hipster.png;image/png;30884;8065;43273;50320
